english_string,french_string
"Legal information","Information légale"
"https://notification.canada.ca/privacy","https://notification.canada.ca/confidentialite"
"Privacy","Confidentialité"
"https://notification.canada.ca/security","https://notification.canada.ca/securite"
"Security","Sécurité"
"https://notification.canada.ca/accessibility","https://notification.canada.ca/accessibilite"
"Accessibility","Accessibilité"
"https://notification.canada.ca/terms","https://notification.canada.ca/conditions-dutilisation"
"Terms of use","Conditions d'utilisation"
"https://notification.canada.ca/service-level-agreement","https://notification.canada.ca/accord-niveaux-de-service"
"Service level agreement","Accord sur les niveaux de service"
"Symbol of the Government of Canada","Symbole du Gouvernment du Canada"
"Government of Canada","Gouvernment du Canada"
"/assets/fip-en.svg","/assets/fip-fr.svg"
"GC Notify System Status","État du système Notification GC"
"Français","English"
"FR","EN"
"Incidents and service interruptions","Incidents et interruptions de service"
"Back to GC Notify","Retour à Notification GC"
"Go to GC Notify","Allez à Notification GC"
"GC Notify API","API Notification GC"
"GC Notify Website","Site web Notification GC"
"Email sending","Envoi de courriel"
"Text message sending","Envoi de message texte"
"Up","En ligne"
"Down","Hors ligne"
"Slow","Lent"
"Loading...","Chargement..."
"Skip to main content","Passer au contenu principal"
